nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Saw II: Flesh & Blood,X360,Action,Konami Digital Entertainment,0.13,,,,,,
DanceDanceRevolution,PS3,Simulation,Konami Digital Entertainment,0.13,16-Nov-10,60,5,tbd,,Konami
Ken to Mahou to Gakuen Mono. 3,PSP,Role-Playing,Acquire,0.13,,,,,,
Shaun White Skateboarding,PS3,Sports,Ubisoft,0.13,24-Oct-10,61,26,5.5,6,Ubisoft Montreal
"NewU Fitness First Mind Body, Yoga & Pilates Workout",Wii,Sports,Black Bean Games,0.13,,,,,,
Michael Jackson: The Experience,PSP,Misc,Ubisoft,0.13,23-Nov-10,,,tbd,,Ubisoft
Ys: The Oath in Felghana,PSP,Role-Playing,Falcom Corporation,0.13,2-Nov-10,80,25,8.5,46,Falcom
Pop'n Music Portable,PSP,Misc,Konami Digital Entertainment,0.13,,,,,,
Active Life Explorer,Wii,Sports,Namco Bandai Games,0.13,19-Oct-10,,,tbd,,h.a.n.d. Inc.
Monster Hunter Frontier Online,X360,Role-Playing,Capcom,0.13,,,,,,
Power Gig: Rise of the SixString,PS3,Misc,Unknown,0.13,19-Oct-10,36,10,tbd,,Seven45 Studios
Borderlands: Double Game Add-On Pack,X360,Shooter,Take-Two Interactive,0.13,6-Apr-10,,,tbd,,Gearbox Software
The Lord of the Rings: Aragorn's Quest,PS3,Action,Warner Bros. Interactive Entertainment,0.13,14-Sep-10,58,12,5.5,6,TT Fusion
Last Ranker,PSP,Role-Playing,Capcom,0.13,,,,,,
International Cricket 2010,X360,Sports,Codemasters,0.13,,,,,,
Marvel Super Hero Squad: The Infinity Gauntlet,PS3,Action,THQ,0.12,16-Nov-10,54,6,tbd,,THQ
Bakugan Battle Brawlers: Defenders of the Core,PSP,Action,Activision,0.12,26-Oct-10,,,tbd,,Now Production
Bakugan Battle Brawlers: Defenders of the Core,PS3,Action,Activision,0.12,26-Oct-10,50,7,tbd,,Now Production
Backyard Sports: Sandlot Sluggers,Wii,Sports,Atari,0.12,25-May-10,,,tbd,,HB Studios Multimedia
Kid Adventures: Sky Captain,Wii,Action,Unknown,0.12,15-Jun-10,,,tbd,,Torus Games
Lips: I Love The 80s,X360,Misc,Microsoft Game Studios,0.12,,,,,,
Haunted House,Wii,Adventure,Atari,0.12,5-Oct-10,41,6,tbd,,Atari
Megamind: Ultimate Showdown,PS3,Adventure,THQ,0.12,2-Nov-10,43,5,4,4,THQ Australia
Kamen Rider: Climax Heroes OOO,PSP,Fighting,Namco Bandai Games,0.12,,,,,,
The Amazing Race,Wii,Misc,Ubisoft,0.12,2-Nov-10,,,tbd,,Ludia Inc.
The God of War Trilogy,PS3,Action,Sony Computer Entertainment,0.12,,,,,,
High Velocity Bowling,PS3,Sports,Sony Computer Entertainment,0.12,6-Dec-07,66,14,8.1,22,SCEA
Marvel Super Hero Squad: The Infinity Gauntlet,X360,Action,THQ,0.12,16-Nov-10,55,10,5.6,5,THQ
Bakugan Battle Brawlers: Defenders of the Core,X360,Action,Activision,0.12,26-Oct-10,62,10,tbd,,Now Production
How to Train Your Dragon,X360,Action,Activision,0.12,23-Mar-10,58,23,7.2,6,Etranges Libellules
Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,PSP,Shooter,Namco Bandai Games,0.12,,,,,,
Disney Sing It: Family Hits,PS3,Misc,Disney Interactive Studios,0.12,3-Aug-10,72,4,tbd,,Disney Interactive Studios
Adrenalin Misfits,X360,Racing,Konami Digital Entertainment,0.12,4-Nov-10,50,32,tbd,,Konami
Divinity II: The Dragon Knight Saga,X360,Role-Playing,Focus Home Interactive,0.12,12-Apr-11,72,13,8,33,Larian Studios
Peppa Pig: Fun and Games,Wii,Misc,Ubisoft,0.12,,,,,,
Megamind: The Blue Defender,PSP,Adventure,THQ,0.11,2-Nov-10,,,tbd,,THQ
Deadliest Catch: Sea of Chaos,Wii,Sports,Crave Entertainment,0.11,29-Nov-10,,,tbd,,Crave
Shin Sangoku Musou: Multi Raid 2,PSP,Action,Tecmo Koei,0.11,,,,,,
Zangeki no Reginleiv,Wii,Action,Nintendo,0.11,,,,,,
Megamind: Ultimate Showdown,X360,Adventure,THQ,0.11,2-Nov-10,33,7,4,4,THQ Australia
Reader Rabbit Kindergarten,Wii,Misc,Graffiti,0.11,4-May-10,,,tbd,,Graffiti Entertainment
Z.H.P. Unlosing Ranger vs Darkdeath Evilman,PSP,Role-Playing,Nippon Ichi Software,0.11,26-Oct-10,81,19,7.1,25,Nippon Ichi Software
Create,PS3,Misc,Electronic Arts,0.11,16-Nov-10,61,23,5,4,EA Bright Light
Naruto Shippuden: Kizuna Drive,PSP,Action,Namco Bandai Games,0.11,22-Mar-11,57,22,4,5,Premium Agency
Create,X360,Misc,Electronic Arts,0.11,16-Nov-10,60,19,5.8,9,EA Bright Light
Record of Agarest War 2,PS3,Role-Playing,Compile Heart,0.11,26-Jun-12,56,6,8,26,"Idea Factory, Compile Heart"
Dance Paradise,X360,Misc,Mindscape,0.11,15-Feb-11,59,11,tbd,,Mindscape Inc.
Backyard Sports Football: Rookie Rush,Wii,Sports,Atari,0.11,,,,,,
Venetica,X360,Role-Playing,DTP Entertainment,0.11,11-Jan-11,42,14,7.1,11,Deck 13
Lost in Shadow,Wii,Platform,Konami Digital Entertainment,0.11,4-Jan-11,68,38,8.9,12,Hudson Soft
The X-Factor,PS3,Misc,Deep Silver,0.11,,,,,,
Yogi Bear: The Video Game,Wii,Action,D3Publisher,0.11,7-Dec-10,,,tbd,,Monkey Bar Games
Yuusha no Kuse ni Namaikida Or 3D,PSP,Strategy,Sony Computer Entertainment,0.11,,,,,,
Fairy Tail: Portable Guild,PSP,Fighting,Konami Digital Entertainment,0.11,,,,,,
TRINITY: Souls of Zill O'll,PS3,Role-Playing,Ubisoft Annecy,0.1,8-Feb-11,55,34,5.8,29,Omega Force
Monster Jam: Path of Destruction,X360,Racing,Activision,0.1,9-Nov-10,,,tbd,,Virtuos
Power Gig: Rise of the SixString,X360,Misc,Unknown,0.1,19-Oct-10,36,20,1,15,Seven45 Studios
Tom Clancy's Ghost Recon,Wii,Shooter,Ubisoft,0.1,16-Nov-10,46,21,6.3,7,Next Level Games
Gladiator Begins,PSP,Action,PQube,0.1,15-Sep-10,59,9,8.6,9,Acquire
Who Wants to Be a Millionaire: 3rd Edition,Wii,Misc,Ubisoft,0.1,5-Oct-10,,,tbd,,Ludia Inc.
Truth or Lies,X360,Misc,THQ,0.1,14-Sep-10,28,6,4.2,5,THQ
PDC World Championship Darts: Pro Tour,Wii,Sports,O-Games,0.1,,,,,,
Machi-Ing Maker 3 x Tousouchuu,PSP,Simulation,D3Publisher,0.1,,,,,,
Vacation Isle: Beach Party,Wii,Misc,Warner Bros. Interactive Entertainment,0.1,Jun-10,,,,,Farsight Studios
The History Channel: Great Battles - Medieval,X360,Strategy,Slitherine Software,0.1,,,,,,
Greg Hastings Paintball 2,Wii,Shooter,505 Games,0.1,28-Sep-10,,,tbd,,Super X Studios
PixelJunk Monsters Deluxe,PSP,Strategy,Sony Computer Entertainment,0.1,30-Sep-09,86,27,8.3,26,Q Games
The Bachelor: The Videogame,Wii,Misc,Warner Bros. Interactive Entertainment,0.1,,,,,,
Cabela's North American Adventures,X360,Sports,Activision,0.1,7-Sep-10,51,5,tbd,,FUN Labs
Venetica,PS3,Role-Playing,DTP Entertainment,0.1,10-Jan-11,47,14,5.5,4,Deck 13
Cabela's North American Adventures,PS3,Sports,Activision,0.1,14-Sep-10,,,tbd,,FUN Labs
TRON: Evolution,PSP,Action,Disney Interactive Studios,0.1,7-Dec-10,,,tbd,,SuperVillain Studios
Legend of the Guardians: The Owls of Ga'Hoole,Wii,Action,Warner Bros. Interactive Entertainment,0.1,14-Sep-10,54,5,tbd,,Tantatus
Blood Drive,X360,Racing,Activision,0.1,2-Nov-10,40,21,5.9,7,Sidhe Interactive
BlazBlue: Calamity Trigger Portable,PSP,Fighting,PQube,0.1,10-Mar-10,82,14,8.4,12,Arc System Works
Disney Sing It: Party Hits,PS3,Misc,Disney Interactive Studios,0.1,12-Oct-10,,,tbd,,Disney Interactive Studios
Hollywood Squares,Wii,Misc,Ubisoft,0.09,5-Oct-10,,,tbd,,Ubisoft
Dancing on Ice,Wii,Sports,Ghostlight,0.09,,,,,,
Deadly Premonition,PS3,Action,Rising Star Games,0.09,30-Apr-13,70,32,7.9,66,Access Games
John Daly's ProStroke Golf,PS3,Sports,O-Games,0.09,5-Oct-10,58,23,4.1,8,Gusto Games
Truth or Lies,Wii,Misc,THQ,0.09,14-Sep-10,,,tbd,,THQ
Hakuouki: Zuisouroku Portable,PSP,Adventure,Idea Factory,0.09,,,,,,
"Sakura Wars: So Long, My Love",Wii,Role-Playing,Ackkstudios,0.09,30-Mar-10,75,30,7,26,Idea Factory
Sniper Elite,Wii,Shooter,Reef Entertainment,0.09,14-Dec-10,71,4,tbd,,Rebellion
NERF N-Strike: Double Blast Bundle,Wii,Shooter,Electronic Arts,0.09,26-Oct-10,,,tbd,,Electronic Arts
Fat Princess: Fistful of Cake,PSP,Action,Sony Computer Entertainment,0.09,4-May-10,74,33,9.2,18,SuperVillain Studios
Dora's Big Birthday Adventure,Wii,Misc,Take-Two Interactive,0.09,26-Oct-10,,,tbd,,2K Play
Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii,Misc,Hudson Soft,0.09,,,,,,
U-Sing  2,Wii,Misc,Mindscape,0.09,,,,,,
Attack of the Movies 3D,Wii,Shooter,Majesco Entertainment,0.09,18-May-10,39,6,tbd,,Majesco Games
Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,Misc,Hudson Soft,0.09,,,,,,
iCarly 2: iJoin The Click!,Wii,Adventure,Activision,0.09,16-Nov-10,,,tbd,,Big Blue Bubble Inc.
Tom Clancy's HAWX 2,Wii,Action,Ubisoft,0.09,9-Nov-10,47,11,tbd,,Ubisoft
Lucha Libre AAA: Heroes del Ring,PS3,Fighting,Konami Digital Entertainment,0.09,12-Oct-10,54,6,6.8,9,Immersion Software & Graphics
nail'd,X360,Racing,Deep Silver,0.08,30-Nov-10,64,49,7.8,12,Techland
Beat Sketch!,PS3,Misc,Sony Computer Entertainment,0.08,,,,,,
Backyard Sports Football: Rookie Rush,X360,Sports,Atari,0.08,,,,,,
MySims SkyHeroes,X360,Action,Electronic Arts,0.08,28-Sep-10,56,15,5.5,4,The Sims Studio
PDC World Championship Darts: Pro Tour,PS3,Sports,O-Games,0.08,,,,,,
Record of Agarest War Zero,X360,Strategy,Compile Heart,0.08,14-Jun-11,,,7.9,14,"Compile Heart, RED Entertainment"
nail'd,PS3,Racing,Deep Silver,0.08,30-Nov-10,66,36,6.5,10,Techland
Data East Arcade Classics,Wii,Misc,Majesco Entertainment,0.08,16-Feb-10,56,7,8.2,5,G1M2
Busy Scissors,Wii,Simulation,Little Orbit,0.08,26-Oct-10,,,tbd,,Little Orbit
Split/Second,PSP,Racing,Disney Interactive Studios,0.08,16-Nov-10,63,16,6.7,12,Black Rock Studio
The X-Factor,X360,Misc,Deep Silver,0.08,,,,,,
Last Rebellion,PS3,Role-Playing,Nippon Ichi Software,0.08,23-Feb-10,44,30,4.5,31,Hit Maker
Quantum Theory,X360,Shooter,Tecmo Koei,0.08,28-Sep-10,37,39,2.9,22,Tecmo
NatGeo Challenge! Wild Life,PS3,Misc,Black Bean Games,0.08,,,,,,
Backyard Sports: Sandlot Sluggers,X360,Sports,Atari,0.08,25-May-10,,,3.8,4,HB Studios Multimedia
MySims SkyHeroes,PS3,Action,Electronic Arts,0.08,28-Sep-10,62,16,tbd,,Electronic Arts
ESA Game Pack,PS3,Misc,Sony Computer Entertainment,0.08,10-Nov-10,,,tbd,,Various
Bleach: Heat the Soul 7,PSP,Fighting,Sony Computer Entertainment,0.08,,,,,,
Shrek: Forever After,X360,Platform,Activision,0.08,18-May-10,62,22,6.3,8,Xpec
Criminal Girls,PSP,Role-Playing,Nippon Ichi Software,0.08,,,,,,
Martian Panic,Wii,Adventure,Unknown,0.08,24-Aug-10,,,tbd,,N-Fusion Interactive Entertainment Corp.
SingStar Guitar,PS3,Misc,Sony Computer Entertainment,0.08,,,,,,
Knights in the Nightmare,PSP,Role-Playing,Atlus,0.08,5-Nov-10,75,10,9.3,4,Sting
Field & Stream: Total Outdoorsman Challenge,X360,Sports,505 Games,0.08,,,,,,
Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,PSP,Adventure,Sony Computer Entertainment,0.07,,,,,,
Tom Clancy's Ghost Recon: Predator,PSP,Shooter,Ubisoft,0.07,16-Nov-10,54,15,tbd,,Virtuos
Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,Misc,Hudson Soft,0.07,,,,,,
The Lord of the Rings: Aragorn's Quest,PSP,Action,Warner Bros. Interactive Entertainment,0.07,14-Sep-10,,,tbd,,TT Fusion
Truth or Lies,PS3,Misc,THQ,0.07,14-Sep-10,,,tbd,,THQ
Busou Shinki: Battle Masters,PSP,Action,Konami Digital Entertainment,0.07,,,,,,
Winning Eleven Playmaker 2010: Aoki Samurai no Chousen,Wii,Sports,Konami Digital Entertainment,0.07,,,,,,
Hakuouki: Yuugi Roku,PSP,Adventure,Idea Factory,0.07,,,,,,
Great Party Games,Wii,Misc,O-Games,0.07,,,,,,
Deadliest Catch: Sea of Chaos,PS3,Sports,Crave Entertainment,0.07,29-Nov-10,48,8,tbd,,Crave
America's Next Top Model,Wii,Action,Crave Entertainment,0.07,1-Jun-10,,,tbd,,Neopica
Little League World Series Baseball: Double Play,Wii,Sports,Activision,0.07,13-Jul-10,,,tbd,,Activision
Deadliest Catch: Sea of Chaos,X360,Sports,Crave Entertainment,0.07,29-Nov-10,36,4,tbd,,Crave
Rugby League 3,Wii,Sports,Alternative Software,0.07,,,,,,
Arcania: Gothic 4,X360,Role-Playing,JoWood Productions,0.07,19-Oct-10,64,21,5.6,41,Spellbound
My First Songs,Wii,Misc,Mindscape,0.07,,,,,,
Ken to Mahou to Gakuen Mono. 3,PS3,Role-Playing,Acquire,0.07,,,,,,
Little League World Series Baseball 2010,X360,Sports,Activision,0.07,13-Jul-10,55,4,tbd,,Now Production
"Prinny 2: Dawn of Operation Panties, Dood!",PSP,Platform,Nippon Ichi Software,0.07,,,,,,
Get Fit with Mel B,Wii,Sports,Black Bean Games,0.07,14-Sep-11,,,tbd,,Lightning Fish Games
Bass Pro Shops: The Hunt,X360,Sports,Griffin International,0.07,2-Jun-10,,,tbd,,Griffin International
Winning Post 7 2010,PS3,Sports,Tecmo Koei,0.07,,,,,,
Mario Tennis,Wii,Sports,Nintendo,0.07,28-Jun-10,,,tbd,,Camelot Software Planning
Man vs. Wild,PS3,Adventure,Abylight,0.07,26-Apr-11,,,tbd,,Scientifically Proven
Sly 2: Band of Thieves,PS3,Platform,Sony Computer Entertainment,0.07,29-Nov-11,,,6.8,16,Sanzaru Games
Cabela's North American Adventures,PSP,Sports,Activision,0.07,14-Sep-10,,,tbd,,FUN Labs
Let's Paint,Wii,Simulation,Zoo Games,0.06,,,,,,
Major League Baseball 2K10,PSP,Sports,Take-Two Interactive,0.06,2-Mar-10,,,tbd,,Visual Concepts
Pizza Delivery Boy,Wii,Simulation,Majesco Entertainment,0.06,23-Mar-10,,,tbd,,Attractive Games
Ikki Tousen: Xross Impact,PSP,Action,Marvelous Interactive,0.06,,,,,,
Ys vs. Sora no Kiseki: Alternative Saga,PSP,Action,Falcom Corporation,0.06,,,,,,
10 Minute Solution,Wii,Sports,Activision,0.06,29-Jun-10,,,tbd,,Anchor Bay Entertainment
Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,Shooter,Sega,0.06,,,,,,
Basketball Hall of Fame Ultimate Hoops Challenge,Wii,Sports,Zoo Games,0.06,,,,,,
Blood Drive,PS3,Racing,Activision,0.06,2-Nov-10,47,11,tbd,,Sidhe Interactive
Naruto Shippuden: Gekitou Ninja Taisen Special,Wii,Fighting,Takara Tomy,0.06,,,,,,
Hisshou Pachinko*Pachi-Slot Kouryaku Series Portable Vol. 1: Shinseiki Evangelion - Tamashii no Kiseki,PSP,Misc,D3Publisher,0.06,,,,,,
Disgaea Infinite,PSP,Adventure,Nippon Ichi Software,0.06,8-Jun-10,64,15,4,37,Nippon Ichi Software
Reader Rabbit 1st Grade,Wii,Misc,Graffiti,0.06,4-May-10,,,tbd,,Graffiti Entertainment
Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,PSP,Action,Namco Bandai Games,0.06,,,,,,
Power Pro Success Legends,PSP,Sports,Konami Digital Entertainment,0.06,,,,,,
Phantom Brave: The Hermuda Triangle,PSP,Role-Playing,Nippon Ichi Software,0.06,8-Mar-11,65,16,6.8,9,Nippon Ichi Software
Starry * Sky: In Summer - PSP Edition,PSP,Adventure,Asgard,0.06,,,,,,
Kiniro no Corda 3,PSP,Adventure,Tecmo Koei,0.06,,,,,,
Dance Sensation!,Wii,Misc,Majesco Entertainment,0.06,,,,,,
Family Trainer: Treasure Adventure,Wii,Sports,Namco Bandai Games,0.06,TBA,,,,,Namco Bandai Games
Monster Jam: Path of Destruction,PSP,Racing,Activision,0.06,9-Nov-10,,,tbd,,Virtuos
Dream C Club Portable,PSP,Simulation,D3Publisher,0.06,,,,,,
Tokyo Mono Harashi: Karasu no Mori Gakuen Kitan,PSP,Role-Playing,Atlus,0.06,,,,,,
Shin Sangoku Musou 5 Empires,PSP,Action,Tecmo Koei,0.05,,,,,,
Chevrolet Camaro: Wild Ride,Wii,Racing,Storm City Games,0.05,30-Oct-10,,,tbd,,CokeM Interactive
Kid Fit Island Resort,Wii,Sports,Avanquest,0.05,26-Oct-10,,,tbd,,Red Wagon
TNA iMPACT: Cross the Line,PSP,Fighting,SouthPeak Games,0.05,29-Jun-10,50,6,tbd,,Point of View
Rooms: The Main Building,Wii,Adventure,Hudson Soft,0.05,23-Mar-10,60,8,tbd,,Hudson Entertainment
Trick x Logic: Season 1,PSP,Adventure,Sony Computer Entertainment,0.05,,,,,,
Winning Post 7 2010,PSP,Sports,Tecmo Koei,0.05,,,,,,
Starry * Sky: In Spring - PSP Edition,PSP,Adventure,Asgard,0.05,,,,,,
Tournament of Legends,Wii,Fighting,Sega,0.05,6-Jul-10,45,38,6.6,10,High Voltage Software
Speed,Wii,Racing,Unknown,0.05,29-Apr-10,,,tbd,,Zoo Games
Puzzle Chronicles,PSP,Puzzle,Konami Digital Entertainment,0.05,28-Jan-10,62,19,tbd,,Konami
Marriage Royale: Prism Story,PSP,Adventure,ASCII Media Works,0.05,,,,,,
Legend of the Guardians: The Owls of Ga'Hoole,X360,Action,Warner Bros. Interactive Entertainment,0.05,14-Sep-10,60,13,tbd,,Krome Studios
Sam & Max: Beyond Time and Space,Wii,Adventure,Atari,0.05,,,,,,
Corpse Party: Blood Covered - Repeated Fear,PSP,Adventure,5pb,0.05,,,,,,
Durarara!! 3-way Standoff,PSP,Adventure,ASCII Media Works,0.05,,,,,,
Ivy the Kiwi?,Wii,Puzzle,Rising Star Games,0.05,24-Aug-10,74,30,7.6,10,Prope
Fushigi no Dungeon: Fuurai no Shiren 3 Portable,PSP,Role-Playing,Spike,0.05,,,,,,
White Album: Tsuzurareru Fuyu no Omoide,PS3,Adventure,Aqua Plus,0.05,,,,,,
Little League World Series Baseball 2010,PS3,Sports,Activision,0.05,13-Jul-10,61,4,tbd,,Now Production
DoDonPachi Resurrection,X360,Shooter,Rising Star Games,0.05,4-Nov-11,77,10,8.4,10,Cave
Sled Shred featuring the Jamaican Bobsled Team,Wii,Sports,SouthPeak Games,0.05,12-Oct-10,,,tbd,,
Lucha Libre AAA: Heroes del Ring,X360,Fighting,Konami Digital Entertainment,0.05,12-Oct-10,49,11,5.5,11,Immersion Software & Graphics
Call of Duty: The War Collection,X360,Shooter,Activision,0.04,8-Jun-10,,,tbd,,"Infinity Ward, Treyarch"
Rapala Pro Bass Fishing 2010,PSP,Sports,Activision,0.04,28-Sep-10,,,tbd,,FUN Labs
B's-LOG Partyâ™ª,PSP,Adventure,Idea Factory,0.04,,,,,,
Saki Portable,PSP,Adventure,Alchemist,0.04,,,,,,
MorphX,X360,Shooter,505 Games,0.04,28-Sep-10,33,4,6.4,9,Buka Entertainment
Pheasants Forever Wingshooter,Wii,Shooter,Unknown,0.04,,,,,,
Sushi Go-Round,Wii,Simulation,Asylum Entertainment,0.04,30-Mar-10,,,tbd,,SouthPeak Games
Winter Sports 3: The Great Tournament,Wii,Sports,Tradewest,0.04,,,,,,
Legend of the Guardians: The Owls of Ga'Hoole,PS3,Action,Warner Bros. Interactive Entertainment,0.04,14-Sep-10,62,9,tbd,,Krome Studios
SingStar Apres-Ski Party 2,PS3,Misc,Sony Computer Entertainment,0.04,,,,,,
Little Busters! Converted Edition,PSP,Adventure,Prototype,0.04,,,,,,
Shukufuku no Campanella Portable,PSP,Adventure,Kadokawa Shoten,0.04,,,,,,
Rock of the Dead,X360,Shooter,Conspiracy Entertainment,0.04,19-Oct-10,48,7,tbd,,Epicenter Studios
Winning Post World 2010,PS3,Sports,Tecmo Koei,0.04,,,,,,
North American Hunting Extravaganza 2,Wii,Sports,Unknown,0.04,,,,,,
